Trace
Swept SA
A.14.12,N9010A
5367200000,-61.6100387573242
5370900000,-61.204833984375
5374600000,-61.3442153930664
5378300000,-62.1090316772461
5382000000,-61.743595123291
5385700000,-62.0740623474121
5389400000,-61.6430511474609
5393100000,-61.1034355163574
5396800000,-60.9193649291992
5400500000,-61.2946624755859
5404200000,-61.6465263366699
5407900000,-61.5918846130371
5411600000,-30.7228260040283
5415300000,-34.3971710205078
5419000000,-60.5364875793457
5422700000,-61.513614654541
5426400000,-62.0977172851563
5430100000,-61.4867286682129
5433800000,-60.990306854248
5437500000,-61.4229316711426
5441200000,-60.4782829284668
5444900000,-61.2975654602051
5448600000,-61.9033241271973
5452300000,-61.9289932250977
5456000000,-60.4186477661133
5459700000,-61.4798431396484
5463400000,-49.1687850952148
5467100000,-30.8408870697021
5470800000,-54.4514045715332
5474500000,-61.4552955627441
5478200000,-61.415641784668
5481900000,-61.8153953552246
5485600000,-62.2576904296875
5489300000,-61.9733009338379
5493000000,-61.1544456481934
5496700000,-61.4623336791992
5500400000,-61.4666900634766
5504100000,-61.5688781738281
5507800000,-61.9714851379395
5511500000,-61.7855796813965
5515200000,-61.2276268005371
5518900000,-41.7907943725586
5522600000,-31.0099563598633
5526300000,-61.0253639221191
5530000000,-61.5273551940918
5533700000,-60.9451484680176
5537400000,-61.8829612731934
5541100000,-61.9379425048828
5544800000,-61.3000526428223
5548500000,-60.4063148498535
5552200000,-60.9397430419922
5555900000,-61.6158332824707
5559600000,-61.5503730773926
5563300000,-61.2071876525879
5567000000,-61.5378570556641
5570700000,-62.1330184936523
5574400000,-36.5873069763184
5578100000,-31.1068344116211
5581800000,-61.5074310302734
5585500000,-61.9137992858887
5589200000,-60.956859588623
5592900000,-61.4206352233887
5596600000,-60.8898735046387
5600300000,-60.7656173706055
5604000000,-61.9790306091309
5607700000,-60.9750556945801
5611400000,-61.9216003417969
5615100000,-61.320369720459
5618800000,-61.494499206543
5622500000,-61.9875030517578
5626200000,-61.9088973999023
5629900000,-41.5342025756836
5633600000,-31.1677856445313
5637300000,-61.1685752868652
5641000000,-61.447883605957
5644700000,-61.5661544799805
5648400000,-61.4491653442383
5652100000,-59.2553253173828
5655800000,-59.5419006347656
5659500000,-61.1425399780273
5663200000,-61.9104957580566
5666900000,-61.0307235717773
5670600000,-61.2989234924316
5674300000,-61.8266410827637
5678000000,-60.9159164428711
5681700000,-61.6383094787598
5685400000,-61.8543281555176
5689100000,-31.0251579284668
5692800000,-61.8102111816406
5696500000,-61.2464637756348
5700200000,-61.4272041320801
5703900000,-60.9500923156738
5707600000,-61.0743293762207
5711300000,-61.8312606811523
5715000000,-61.6701736450195
5718700000,-61.87451171875
5722400000,-61.574764251709
5726100000,-61.3116798400879
5729800000,-61.4418716430664
5733500000,-61.2677955627441
5737200000,-61.3178787231445
5740900000,-55.0564117431641
5744600000,-30.7168064117432
5748300000,-34.0638160705566
5752000000,-61.6504974365234
5755700000,-61.8152313232422
5759400000,-61.5441474914551
5763100000,-61.0438461303711
5766800000,-60.6617851257324
